".rownames","dirty.fctr","dirty.fctr.predict.Low.cor.X.glm.prob","dirty.fctr.predict.Low.cor.X.glm","dirty.fctr.predict.Low.cor.X.glm.accurate"
"10","Y",0.814095825569192,"Y",TRUE
"101","Y",0.118255913938794,"N",FALSE
"102","Y",0.123280588827955,"N",FALSE
"105","Y",0.989353597004606,"Y",TRUE
"108","Y",0.0974983603714239,"N",FALSE
"11","Y",0.99108264047643,"Y",TRUE
"112","Y",0.457786873985034,"Y",TRUE
"116","Y",0.798101746124413,"Y",TRUE
"117","Y",0.0450692064832185,"N",FALSE
"118","Y",0.672601084208803,"Y",TRUE
"119","Y",0.8626826037441,"Y",TRUE
"12","Y",0.662163967592449,"Y",TRUE
"120","Y",0.760618833420956,"Y",TRUE
"121","Y",0.876354683043143,"Y",TRUE
"123","Y",0.990489380358908,"Y",TRUE
"126","Y",0.653616525236879,"Y",TRUE
"127","Y",0.830377662926029,"Y",TRUE
"128","Y",0.956594677712341,"Y",TRUE
"129","Y",0.917206851536476,"Y",TRUE
"131","Y",0.876179324793928,"Y",TRUE
"143","Y",0.724404241841621,"Y",TRUE
"146","Y",0.695338198529883,"Y",TRUE
"150","Y",0.445793051001127,"Y",TRUE
"151","Y",0.248723492598783,"N",FALSE
"153","Y",0.781283430012848,"Y",TRUE
"157","Y",0.983207635371132,"Y",TRUE
"159","Y",0.643498070503393,"Y",TRUE
"16","Y",0.997969680285775,"Y",TRUE
"160","Y",0.0235956553345987,"N",FALSE
"162","Y",0.348849718579863,"N",FALSE
"163","Y",0.784706785844024,"Y",TRUE
"164","Y",0.712235518183997,"Y",TRUE
"169","Y",0.468282536060665,"Y",TRUE
"172","Y",0.558058235375285,"Y",TRUE
"174","Y",0.556033076688251,"Y",TRUE
"177","Y",0.771511399893366,"Y",TRUE
"178","Y",0.622719487506877,"Y",TRUE
"179","Y",0.926637889795963,"Y",TRUE
"181","Y",0.216602746844865,"N",FALSE
"183","Y",0.988719294365446,"Y",TRUE
"186","Y",0.170166616042711,"N",FALSE
"19","Y",0.723598391164917,"Y",TRUE
"192","Y",0.181513527513088,"N",FALSE
"194","Y",0.542054127684423,"Y",TRUE
"195","Y",0.573082053151211,"Y",TRUE
"196","Y",0.975747222000743,"Y",TRUE
"199","Y",0.502228792401487,"Y",TRUE
"200","Y",0.405962651841837,"Y",TRUE
"201","Y",0.949779655109675,"Y",TRUE
"204","Y",0.311431984855592,"N",FALSE
"207","Y",0.481766576486284,"Y",TRUE
"211","Y",0.836668641338538,"Y",TRUE
"215","Y",0.000730001384769902,"N",FALSE
"216","Y",0.0566862701538655,"N",FALSE
"217","Y",0.448650666950567,"Y",TRUE
"218","Y",0.237246839062831,"N",FALSE
"219","Y",0.671145985434128,"Y",TRUE
"220","Y",0.719136236538031,"Y",TRUE
"221","Y",0.802099822543245,"Y",TRUE
"222","Y",0.362303338954759,"N",FALSE
"223","Y",0.427791872458919,"Y",TRUE
"229","Y",0.0629267894037333,"N",FALSE
"233","Y",0.452268772688966,"Y",TRUE
"234","Y",0.700047787166482,"Y",TRUE
"245","Y",0.911199127249655,"Y",TRUE
"249","Y",0.190585614702522,"N",FALSE
"252","Y",0.811036229412919,"Y",TRUE
"254","Y",0.912499466407626,"Y",TRUE
"255","Y",0.48991486369244,"Y",TRUE
"256","Y",0.183502077726377,"N",FALSE
"257","Y",0.810692536907592,"Y",TRUE
"26","Y",0.93761856122789,"Y",TRUE
"261","Y",0.484838898360679,"Y",TRUE
"263","Y",0.998743875747862,"Y",TRUE
"265","Y",0.237992011243157,"N",FALSE
"269","Y",0.786920649531819,"Y",TRUE
"27","Y",0.867031158552725,"Y",TRUE
"272","Y",0.703642120548853,"Y",TRUE
"273","Y",0.977075549203644,"Y",TRUE
"275","N",0.570415574998333,"Y",FALSE
"276","N",0.0512960220266103,"N",TRUE
"277","N",0.49122971371046,"Y",FALSE
"28","Y",0.427815839866923,"Y",TRUE
"280","N",0.114749500152959,"N",TRUE
"281","N",0.811526779379841,"Y",FALSE
